DATETIME	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>
2023.01.09 07:00:00	1.06765	1.06831	1.06731	1.06772	2312
2023.01.09 08:00:00	1.06772	1.06863	1.06756	1.06818	2794
2023.01.09 09:00:00	1.06819	1.06949	1.06683	1.06733	7146
2023.01.09 10:00:00	1.06733	1.06997	1.06725	1.06904	7753
2023.01.09 11:00:00	1.06904	1.06936	1.06599	1.06724	6501
2023.01.09 12:00:00	1.06727	1.06766	1.06614	1.0669	5607
2023.01.09 13:00:00	1.06693	1.06857	1.06675	1.06843	4980
2023.01.09 14:00:00	1.06839	1.06937	1.06809	1.06889	4428
2023.01.09 15:00:00	1.06889	1.07319	1.06853	1.07252	8109
2023.01.09 16:00:00	1.07253	1.07383	1.07115	1.07282	8963
2023.01.09 17:00:00	1.07282	1.07493	1.07278	1.07403	8779
2023.01.09 18:00:00	1.07403	1.07607	1.07402	1.07582	7489
2023.01.09 19:00:00	1.07582	1.07601	1.07399	1.07503	5864
2023.01.09 20:00:00	1.07503	1.07542	1.07377	1.07433	4485
2023.01.09 21:00:00	1.07431	1.07529	1.07415	1.07518	4913
2023.01.09 22:00:00	1.07518	1.07539	1.07305	1.07311	6408
2023.01.09 23:00:00	1.07311	1.07353	1.07301	1.07318	1666
2023.01.10 00:00:00	1.07293	1.0732	1.07243	1.07315	1795
2023.01.10 01:00:00	1.07315	1.0738	1.07272	1.07325	1833
2023.01.10 02:00:00	1.07324	1.07382	1.07204	1.07275	3567
2023.01.10 03:00:00	1.07274	1.07397	1.07259	1.07362	2950
2023.01.10 04:00:00	1.07362	1.07425	1.07212	1.07308	3550
2023.01.10 05:00:00	1.07311	1.07343	1.07257	1.07324	2197
2023.01.10 06:00:00	1.07325	1.07341	1.0728	1.07307	1438
2023.01.10 07:00:00	1.07307	1.07441	1.07295	1.07427	2301
2023.01.10 08:00:00	1.0743	1.07434	1.07262	1.07341	2845
2023.01.10 09:00:00	1.07346	1.07397	1.07222	1.07318	6188
2023.01.10 10:00:00	1.07318	1.07473	1.07313	1.07386	6373
2023.01.10 11:00:00	1.07385	1.07518	1.07296	1.07461	5503
2023.01.10 12:00:00	1.07461	1.07461	1.07342	1.07365	4336
2023.01.10 13:00:00	1.07365	1.07426	1.07319	1.07352	4075
2023.01.10 14:00:00	1.0735	1.07355	1.07154	1.07194	5334
2023.01.10 15:00:00	1.07195	1.07254	1.07121	1.07217	5816
2023.01.10 16:00:00	1.07219	1.07593	1.07216	1.07407	12768
2023.01.10 17:00:00	1.07406	1.07532	1.07218	1.07277	11651
2023.01.10 18:00:00	1.07277	1.0742	1.07242	1.07365	8661
2023.01.10 19:00:00	1.07365	1.07438	1.07298	1.07334	5550
2023.01.10 20:00:00	1.07334	1.07397	1.07275	1.0738	4249
2023.01.10 21:00:00	1.07381	1.07432	1.07364	1.0741	3996
2023.01.10 22:00:00	1.07409	1.07441	1.07306	1.07361	3431
2023.01.10 23:00:00	1.07366	1.07377	1.07318	1.07334	1452
2023.01.11 00:00:00	1.07329	1.07368	1.07307	1.07342	2875
2023.01.11 01:00:00	1.07347	1.07389	1.07315	1.07383	1062
2023.01.11 02:00:00	1.07383	1.07451	1.07372	1.07451	2082
2023.01.11 03:00:00	1.07451	1.07451	1.07252	1.0731	2229
2023.01.11 04:00:00	1.07308	1.0738	1.07267	1.07268	1764
2023.01.11 05:00:00	1.07268	1.07367	1.07263	1.07334	1447
2023.01.11 06:00:00	1.0734	1.07394	1.0732	1.07386	910
2023.01.11 07:00:00	1.07387	1.07568	1.0737	1.07478	1821
2023.01.11 08:00:00	1.0748	1.07552	1.07459	1.07459	1917
2023.01.11 09:00:00	1.07459	1.07575	1.07437	1.07469	5159
2023.01.11 10:00:00	1.07469	1.07489	1.07289	1.07298	6055
2023.01.11 11:00:00	1.07298	1.07483	1.07255	1.07417	5459
2023.01.11 12:00:00	1.07417	1.07513	1.07401	1.07493	4187
2023.01.11 13:00:00	1.07493	1.07555	1.07436	1.07485	4467
2023.01.11 14:00:00	1.07485	1.07489	1.07282	1.07407	4838
2023.01.11 15:00:00	1.07407	1.07529	1.07393	1.07499	5004
2023.01.11 16:00:00	1.07499	1.07765	1.07451	1.07699	8066
2023.01.11 17:00:00	1.07699	1.07749	1.0752	1.0755	8742
2023.01.11 18:00:00	1.07551	1.07619	1.07377	1.07388	5364
2023.01.11 19:00:00	1.0739	1.07486	1.07364	1.07468	3669
2023.01.11 20:00:00	1.07467	1.07671	1.0735	1.07533	5453
2023.01.11 21:00:00	1.07533	1.07638	1.07477	1.07634	3463
2023.01.11 22:00:00	1.07634	1.07634	1.07525	1.07539	2786
2023.01.11 23:00:00	1.07537	1.0758	1.07517	1.07556	1394
2023.01.12 00:00:00	1.07535	1.07603	1.0749	1.07557	1119
2023.01.12 01:00:00	1.07584	1.07674	1.0756	1.07655	2290
2023.01.12 02:00:00	1.07655	1.07746	1.07599	1.07611	3492
2023.01.12 03:00:00	1.07612	1.07675	1.07605	1.07667	3132
2023.01.12 04:00:00	1.07667	1.07689	1.07615	1.0767	2004
2023.01.12 05:00:00	1.0767	1.07712	1.07649	1.07686	1378
2023.01.12 06:00:00	1.07686	1.07736	1.0766	1.07716	1292
2023.01.12 07:00:00	1.07718	1.07752	1.07624	1.07628	2220
2023.01.12 08:00:00	1.07628	1.0769	1.07567	1.07574	2556
2023.01.12 09:00:00	1.07571	1.07652	1.07556	1.07627	4470
2023.01.12 10:00:00	1.07626	1.07647	1.07455	1.07481	5101
2023.01.12 11:00:00	1.07478	1.07735	1.07427	1.07655	6366
2023.01.12 12:00:00	1.07654	1.07685	1.07518	1.07625	4973
2023.01.12 13:00:00	1.07625	1.07667	1.07591	1.07617	3819
2023.01.12 14:00:00	1.07618	1.07667	1.07549	1.07629	4777
2023.01.12 15:00:00	1.07628	1.08386	1.07302	1.08291	16582
2023.01.12 16:00:00	1.08291	1.08337	1.07515	1.07677	17433
2023.01.12 17:00:00	1.07677	1.08097	1.07637	1.0807	17375
2023.01.12 18:00:00	1.08069	1.0826	1.08025	1.08225	11737
2023.01.12 19:00:00	1.08226	1.0849	1.08214	1.08487	8055
2023.01.12 20:00:00	1.08487	1.0867	1.08463	1.08557	8197
2023.01.12 21:00:00	1.08557	1.08561	1.08397	1.08494	6182
2023.01.12 22:00:00	1.08493	1.08524	1.08413	1.08522	5060
2023.01.12 23:00:00	1.08523	1.08551	1.08488	1.08515	1628
2023.01.13 00:00:00	1.08497	1.08497	1.08385	1.08465	604
2023.01.13 01:00:00	1.08464	1.08599	1.08452	1.08597	2542
2023.01.13 02:00:00	1.08595	1.08678	1.08511	1.08522	4168
2023.01.13 03:00:00	1.08522	1.08562	1.08455	1.08554	3220
2023.01.13 04:00:00	1.08555	1.08563	1.08314	1.08445	3718
2023.01.13 05:00:00	1.08449	1.08475	1.08414	1.08454	1854
2023.01.13 06:00:00	1.08454	1.08463	1.08376	1.08397	1426
2023.01.13 07:00:00	1.08398	1.08435	1.08319	1.08372	2299
2023.01.13 08:00:00	1.08372	1.0851	1.08337	1.08451	3518
2023.01.13 09:00:00	1.08453	1.08489	1.08332	1.08489	6126
2023.01.13 10:00:00	1.08488	1.08645	1.08371	1.08554	8656
2023.01.13 11:00:00	1.08554	1.08603	1.08333	1.08426	6408
2023.01.13 12:00:00	1.08425	1.08518	1.08372	1.08452	4834
2023.01.13 13:00:00	1.08453	1.08458	1.08084	1.08121	6363
2023.01.13 14:00:00	1.08121	1.0816	1.08034	1.08119	5809
2023.01.13 15:00:00	1.0812	1.08203	1.07926	1.07937	8210
2023.01.13 16:00:00	1.07938	1.08202	1.07805	1.08181	9653
2023.01.13 17:00:00	1.08173	1.08388	1.08122	1.08296	10678
2023.01.13 18:00:00	1.08294	1.08336	1.08012	1.08102	7829
2023.01.13 19:00:00	1.08102	1.08318	1.08067	1.08283	4837
2023.01.13 20:00:00	1.08283	1.08346	1.08182	1.08312	3429
2023.01.13 21:00:00	1.08312	1.08353	1.08267	1.08293	3270
2023.01.13 22:00:00	1.08293	1.08358	1.08271	1.08325	3074
2023.01.13 23:00:00	1.08329	1.08345	1.08285	1.08323	1328
2023.01.16 00:00:00	1.08295	1.08348	1.08287	1.08309	879
2023.01.16 01:00:00	1.08306	1.0832	1.08193	1.08226	1901
2023.01.16 02:00:00	1.08227	1.08442	1.08208	1.08416	2819
2023.01.16 03:00:00	1.08416	1.0872	1.08405	1.0868	3911
2023.01.16 04:00:00	1.0868	1.08742	1.08656	1.08667	3429
2023.01.16 05:00:00	1.08667	1.08674	1.0859	1.086	1387
2023.01.16 06:00:00	1.086	1.08639	1.08508	1.08528	1316
2023.01.16 07:00:00	1.08531	1.08611	1.08525	1.08605	1763
2023.01.16 08:00:00	1.08603	1.08606	1.0836	1.08395	2622
2023.01.16 09:00:00	1.08395	1.08424	1.08268	1.08312	4575
2023.01.16 10:00:00	1.08307	1.08321	1.08024	1.08036	7471
2023.01.16 11:00:00	1.08035	1.08241	1.08016	1.0821	4815
2023.01.16 12:00:00	1.0821	1.08336	1.08207	1.08301	3538
2023.01.16 13:00:00	1.08301	1.08367	1.0824	1.08271	3720
2023.01.16 14:00:00	1.0827	1.08284	1.08145	1.08153	3446
2023.01.16 15:00:00	1.08152	1.08202	1.0806	1.08159	4219
2023.01.16 16:00:00	1.08159	1.08256	1.0814	1.0822	3970
2023.01.16 17:00:00	1.08221	1.08293	1.08163	1.08252	3355
2023.01.16 18:00:00	1.08253	1.08264	1.08174	1.08248	2855
2023.01.16 19:00:00	1.08247	1.08267	1.08118	1.08139	1699
2023.01.16 20:00:00	1.08138	1.08148	1.08109	1.08129	511
2023.01.16 21:00:00	1.0813	1.08194	1.08125	1.08194	447
2023.01.16 22:00:00	1.08194	1.08207	1.08175	1.08203	483
2023.01.16 23:00:00	1.08205	1.08247	1.08189	1.0821	640
2023.01.17 00:00:00	1.08197	1.08222	1.08162	1.08219	1753
2023.01.17 01:00:00	1.08219	1.08319	1.08198	1.08297	2556
2023.01.17 02:00:00	1.08297	1.08337	1.08256	1.08287	1580
2023.01.17 03:00:00	1.08287	1.08317	1.08141	1.08171	3050
2023.01.17 04:00:00	1.08169	1.08327	1.0806	1.08143	2757
2023.01.17 05:00:00	1.08143	1.08285	1.08137	1.08251	1972
2023.01.17 06:00:00	1.08251	1.08287	1.08221	1.0826	1280
2023.01.17 07:00:00	1.0826	1.08325	1.0822	1.08311	1840
2023.01.17 08:00:00	1.0831	1.08356	1.08136	1.08146	2682
2023.01.17 09:00:00	1.08146	1.08297	1.0812	1.08282	5943
2023.01.17 10:00:00	1.08282	1.08388	1.08231	1.08274	6673
2023.01.17 11:00:00	1.08273	1.08311	1.0811	1.08172	5647
2023.01.17 12:00:00	1.08174	1.08275	1.08088	1.08217	5990
2023.01.17 13:00:00	1.08217	1.08339	1.08136	1.08322	5480
2023.01.17 14:00:00	1.08326	1.08578	1.08223	1.08529	6509
2023.01.17 15:00:00	1.08527	1.08581	1.08362	1.08426	8567
2023.01.17 16:00:00	1.08427	1.08694	1.08421	1.08628	10272
2023.01.17 17:00:00	1.08631	1.08639	1.07952	1.08017	13381
2023.01.17 18:00:00	1.08017	1.08092	1.0786	1.07925	7844
2023.01.17 19:00:00	1.07929	1.07986	1.07745	1.07822	4590
2023.01.17 20:00:00	1.07822	1.07967	1.07799	1.07953	3265
2023.01.17 21:00:00	1.07954	1.08038	1.07915	1.07935	4862
2023.01.17 22:00:00	1.07934	1.07971	1.07868	1.07937	3975
2023.01.17 23:00:00	1.07933	1.07939	1.07872	1.07876	1538
2023.01.18 00:00:00	1.07879	1.07932	1.07862	1.079	545
2023.01.18 01:00:00	1.07906	1.07932	1.07853	1.07895	1831
2023.01.18 02:00:00	1.07895	1.07913	1.07824	1.07843	2036
2023.01.18 03:00:00	1.07843	1.07963	1.07832	1.07962	2613
2023.01.18 04:00:00	1.07962	1.07993	1.07661	1.0787	7346
2023.01.18 05:00:00	1.07874	1.07891	1.07681	1.07731	6171
2023.01.18 06:00:00	1.07731	1.07776	1.07671	1.07745	3560
2023.01.18 07:00:00	1.07745	1.07802	1.07679	1.07797	3953
2023.01.18 08:00:00	1.07794	1.0791	1.07793	1.07895	5237
2023.01.18 09:00:00	1.07897	1.08367	1.07893	1.08256	10340
2023.01.18 10:00:00	1.08258	1.08514	1.08255	1.08434	8841
2023.01.18 11:00:00	1.08435	1.08715	1.08371	1.08699	7352
2023.01.18 12:00:00	1.08699	1.087	1.08498	1.08527	6060
2023.01.18 13:00:00	1.08528	1.08543	1.08114	1.08152	5911
2023.01.18 14:00:00	1.0815	1.08338	1.08147	1.0824	5520
2023.01.18 15:00:00	1.08237	1.08679	1.08223	1.08583	10505
2023.01.18 16:00:00	1.08584	1.08874	1.08478	1.08639	13499
2023.01.18 17:00:00	1.08639	1.08689	1.08267	1.08334	11487
2023.01.18 18:00:00	1.08334	1.08357	1.08137	1.08269	9526
2023.01.18 19:00:00	1.08269	1.0828	1.07874	1.07959	8160
2023.01.18 20:00:00	1.0796	1.07991	1.07868	1.07966	6335
2023.01.18 21:00:00	1.07966	1.07969	1.07872	1.07952	5035
2023.01.18 22:00:00	1.07952	1.07952	1.07876	1.07893	4474
2023.01.18 23:00:00	1.07899	1.07974	1.07892	1.07936	1450
2023.01.19 00:00:00	1.07903	1.07936	1.07873	1.07903	1311
2023.01.19 01:00:00	1.07903	1.07977	1.07898	1.07971	1796
2023.01.19 02:00:00	1.07976	1.07982	1.07863	1.07875	3615
2023.01.19 03:00:00	1.07875	1.07956	1.07825	1.07876	2999
2023.01.19 04:00:00	1.07877	1.07946	1.07822	1.07935	1933
2023.01.19 05:00:00	1.07935	1.08056	1.07926	1.08006	2095
2023.01.19 06:00:00	1.08005	1.08022	1.07931	1.07955	2267
2023.01.19 07:00:00	1.07955	1.07982	1.07908	1.07916	2469
2023.01.19 08:00:00	1.07917	1.08033	1.07909	1.07911	2530
2023.01.19 09:00:00	1.07914	1.0814	1.07825	1.08081	6629
2023.01.19 10:00:00	1.08084	1.0825	1.08034	1.0817	6452
2023.01.19 11:00:00	1.0817	1.08293	1.0816	1.08249	4983
2023.01.19 12:00:00	1.0825	1.08382	1.08154	1.08292	6004
2023.01.19 13:00:00	1.08291	1.08347	1.08161	1.08219	5225
2023.01.19 14:00:00	1.08219	1.08272	1.0805	1.0809	4935
2023.01.19 15:00:00	1.08092	1.0823	1.07955	1.08096	9525
2023.01.19 16:00:00	1.08095	1.08253	1.07951	1.08104	9871
2023.01.19 17:00:00	1.08104	1.08191	1.07836	1.07892	9687
2023.01.19 18:00:00	1.07892	1.08095	1.07874	1.08092	6648
2023.01.19 19:00:00	1.08089	1.08247	1.08088	1.08165	5467
2023.01.19 20:00:00	1.08164	1.08352	1.08131	1.08285	6133
2023.01.19 21:00:00	1.08285	1.08362	1.08212	1.08306	4326
2023.01.19 22:00:00	1.08306	1.08401	1.0828	1.08292	4371
2023.01.19 23:00:00	1.0829	1.08348	1.0828	1.08294	1739
2023.01.20 00:00:00	1.08291	1.08336	1.08264	1.08292	319
2023.01.20 01:00:00	1.08292	1.08368	1.08272	1.08332	1140
2023.01.20 02:00:00	1.08332	1.08404	1.08287	1.08311	1926
2023.01.20 03:00:00	1.08314	1.08437	1.08281	1.08362	2159
2023.01.20 04:00:00	1.08363	1.0844	1.08314	1.08365	1676
2023.01.20 05:00:00	1.08365	1.08384	1.08324	1.08343	1053
2023.01.20 06:00:00	1.08343	1.0835	1.0828	1.08297	1464
2023.01.20 07:00:00	1.08296	1.08356	1.08252	1.08353	1806
2023.01.20 08:00:00	1.08354	1.08368	1.08238	1.08244	1966
2023.01.20 09:00:00	1.08247	1.08466	1.08207	1.084	4914
2023.01.20 10:00:00	1.08403	1.08591	1.08384	1.08407	5472
2023.01.20 11:00:00	1.08403	1.08519	1.08282	1.0831	5673
2023.01.20 12:00:00	1.08311	1.08474	1.08261	1.08388	5449
2023.01.20 13:00:00	1.08387	1.08418	1.08246	1.08251	3900
2023.01.20 14:00:00	1.08252	1.08277	1.08141	1.08185	5268
2023.01.20 15:00:00	1.08185	1.08277	1.08024	1.08065	5172
2023.01.20 16:00:00	1.08065	1.08262	1.08046	1.08215	7987
2023.01.20 17:00:00	1.08216	1.08478	1.08183	1.0831	8613
2023.01.20 18:00:00	1.0831	1.08451	1.08273	1.08306	5672
2023.01.20 19:00:00	1.08305	1.08474	1.08295	1.08438	4287
2023.01.20 20:00:00	1.08437	1.08504	1.08338	1.08475	5262
2023.01.20 21:00:00	1.08476	1.08586	1.08457	1.0854	3514
2023.01.20 22:00:00	1.0854	1.08584	1.08522	1.08565	3611
2023.01.20 23:00:00	1.08567	1.0858	1.08546	1.08557	1115
2023.01.23 00:00:00	1.08622	1.08655	1.0859	1.0865	520
2023.01.23 01:00:00	1.08644	1.08693	1.08613	1.0864	1540
2023.01.23 02:00:00	1.08642	1.08872	1.0864	1.08849	2416
2023.01.23 03:00:00	1.08848	1.08996	1.08806	1.08949	3058
2023.01.23 04:00:00	1.08949	1.0899	1.08897	1.08925	1476
2023.01.23 05:00:00	1.08926	1.0903	1.08926	1.08985	1618
2023.01.23 06:00:00	1.08986	1.08987	1.08889	1.08948	1795
2023.01.23 07:00:00	1.08948	1.08984	1.08901	1.08922	1768
2023.01.23 08:00:00	1.08922	1.0913	1.08874	1.09007	3295
2023.01.23 09:00:00	1.09007	1.09267	1.08923	1.09144	6271
2023.01.23 10:00:00	1.09142	1.09157	1.08934	1.08999	6431
2023.01.23 11:00:00	1.08999	1.09204	1.08932	1.09118	4636
2023.01.23 12:00:00	1.09118	1.09153	1.08956	1.08992	4563
2023.01.23 13:00:00	1.08992	1.09025	1.0879	1.08815	4787
2023.01.23 14:00:00	1.08815	1.0883	1.08669	1.08711	5556
2023.01.23 15:00:00	1.08714	1.08779	1.08532	1.08589	6827
2023.01.23 16:00:00	1.08589	1.08683	1.08464	1.08619	8229
2023.01.23 17:00:00	1.0862	1.08692	1.0847	1.08645	8703
2023.01.23 18:00:00	1.08645	1.0876	1.08599	1.0864	7023
2023.01.23 19:00:00	1.0864	1.08651	1.08567	1.08624	4052
2023.01.23 20:00:00	1.08625	1.08732	1.08623	1.08664	3438
2023.01.23 21:00:00	1.08665	1.08674	1.08478	1.08591	4786
2023.01.23 22:00:00	1.08591	1.08685	1.08572	1.08683	5138
2023.01.23 23:00:00	1.08681	1.08718	1.08651	1.08715	1353
2023.01.24 00:00:00	1.08705	1.08715	1.0867	1.08691	325
2023.01.24 01:00:00	1.08689	1.08756	1.08673	1.08711	1211
2023.01.24 02:00:00	1.08711	1.08748	1.08674	1.08736	1271
2023.01.24 03:00:00	1.08737	1.08826	1.08718	1.08809	1168
2023.01.24 04:00:00	1.08807	1.0883	1.08775	1.08791	878
2023.01.24 05:00:00	1.08785	1.08801	1.08731	1.08746	932
2023.01.24 06:00:00	1.08746	1.08765	1.08694	1.08764	1140
2023.01.24 07:00:00	1.08768	1.08827	1.08756	1.08784	1063
2023.01.24 08:00:00	1.08784	1.08919	1.08776	1.08879	1999
2023.01.24 09:00:00	1.08879	1.0898	1.08834	1.08888	4142
